0	0	0	0
0	1	34.5	61.5	
0	2	31.5	64.5	
0	3	29.5	60.5	
0	4	27.5	57.5	
0	5	25.5	54.5	
0	6	24.5	51.5	
0	7	22.5	48.5	
0	8	21.5	45.5	
0	9	20.5	42.5	
0	10	18.5	40.5	
0	11	17.5	38.5	
0	12	16	38.5	
0	13	15.5	32.5	
0	14	15	32.5	
0	15	0	0	
0	16	0	0	
0	17	0	0	
0	18	0	0	
0	19	0	0	
0	20	0	0	
0	21	0	0	
0	22	0	0	
0	23	0	0	
0	24	0	0	
1	0	0	0	
1	1	0	0	
1	2	0	0	
1	3	0	0	
1	4	0	0	
1	5	0	0	
1	6	0	0	
1	7	0	0	
1	8	0	0	
1	9	0	0	
1	10	0	0	
1	11	0	0	
1	12	0	0	
1	13	0	0	
1	14	0	0	
1	15	0	0	
1	16	0	0	
1	17	0	0	
1	18	0	0	
1	19	0	0	
1	20	0	0	
1	21	0	0	
1	22	0	0	
1	23	0	0	
1	24	0	0	
2	0	0	0	
2	1	0	0	
2	2	0	0	
2	3	0	0	
2	4	0	0	
2	5	0	0	
2	6	0	0	
2	7	0	0	
2	8	0	0	
2	9	0	0	
2	10	0	0	
2	11	0	0	
2	12	0	0	
2	13	0	0	
2	14	0	0	
2	15	0	0	
2	16	0	0	
2	17	0	0	
2	18	0	0	
2	19	0	0	
2	20	0	0	
2	21	0	0	
2	22	0	0	
2	23	0	0	
2	24	0	0	
3	0	0	0	
3	1	0	0	
3	2	0	0	
3	3	0	0	
3	4	0	0	
3	5	0	0	
3	6	0	0	
3	7	0	0	
3	8	0	0	
3	9	0	0	
3	10	0	0	
3	11	0	0	
3	12	0	0	
3	13	0	0	
3	14	0	0	
3	15	0	0	
3	16	0	0	
3	17	0	0	
3	18	0	0	
3	19	0	0	
3	20	0	0	
3	21	0	0	
3	22	0	0	
3	23	0	0	
3	24	0	0	
4	0	0	0	
4	1	0	0	
4	2	0	0	
4	3	0	0	
4	4	0	0	
4	5	0	0	
4	6	0	0	
4	7	0	0	
4	8	0	0	
4	9	0	0	
4	10	0	0	
4	11	0	0	
4	12	0	0	
4	13	0	0	
4	14	0	0	
4	15	0	0	
4	16	0	0	
4	17	0	0	
4	18	0	0	
4	19	0	0	
4	20	0	0	
4	21	0	0	
4	22	0	0	
4	23	0	0	
4	24	0	0	
5	0	0	0	
5	1	0	0	
5	2	0	0	
5	3	0	0	
5	4	0	0	
5	5	0	0	
5	6	0	0	
5	7	0	0	
5	8	0	0	
5	9	0	0	
5	10	0	0	
5	11	0	0	
5	12	0	0	
5	13	0	0	
5	14	0	0	
5	15	0	0	
5	16	0	0	
5	17	0	0	
5	18	0	0	
5	19	0	0	
5	20	0	0	
5	21	0	0	
5	22	0	0	
5	23	0	0	
5	24	0	0	
6	0	0	0	
6	1	17.5	51.5	
6	2	15.5	51.5	
6	3	14.5	47.5	
6	4	13.5	44.5	
6	5	12.5	41.5	
6	6	11.5	39.5	
6	7	10.5	36.5	
6	8	9.5	34.5	
6	9	9.5	32.5	
6	10	8.5	31.5	
6	11	7.5	29.5	
6	12	7.5	28.5	
6	13	6.5	26.5	
6	14	5.5	25.5	
6	15	5.5	24.5	
6	16	5	24.5	
6	17	0	0	
6	18	0	0	
6	19	0	0	
6	20	0	0	
6	21	0	0	
6	22	0	0	
6	23	0	0	
6	24	0	0	
7	0	0	0	
7	1	17.5	53.5	
7	2	15.5	51.5	
7	3	14.5	47.5	
7	4	13.5	44.5	
7	5	12.5	41.5	
7	6	11.5	39.5	
7	7	10.5	36.5	
7	8	9.5	34.5	
7	9	8.5	32.5	
7	10	8.5	31.5	
7	11	7.5	29.5	
7	12	7.5	27.5	
7	13	6.5	25.5	
7	14	6.5	19.5	
7	15	6	19.5	
7	16	0	0	
7	17	0	0	
7	18	0	0	
7	19	0	0	
7	20	0	0	
7	21	0	0	
7	22	0	0	
7	23	0	0	
7	24	0	0	
8	0	0	0	
8	1	0	0	
8	2	33.5	57.5	
8	3	31.5	56.5	
8	4	29.5	53.5	
8	5	27.5	49.5	
8	6	25.5	46.5	
8	7	23.5	44.5	
8	8	22.5	41.5	
8	9	20.5	39.5	
8	10	20.5	37.5	
8	11	18.5	35.5	
8	12	17.5	34.5	
8	13	17	34.5	
8	14	0	0	
8	15	0	0	
8	16	0	0	
8	17	0	0	
8	18	0	0	
8	19	0	0	
8	20	0	0	
8	21	0	0	
8	22	0	0	
8	23	0	0	
8	24	0	0	
9	0	0	0	
9	1	34.5	62.5	
9	2	31.5	64.5	
9	3	29.5	60.5	
9	4	27.5	57.5	
9	5	25.5	54.5	
9	6	24.5	51.5	
9	7	22.5	48.5	
9	8	20.5	45.5	
9	9	19.5	43.5	
9	10	18.5	41.5	
9	11	17.5	39.5	
9	12	16.5	36.5	
9	13	15.5	34.5	
9	14	17.5	33.5	
9	15	17.5	32.5	
9	16	15	32.5	
9	17	14.5	28.5	
9	18	14	28.5	
9	19	0	0	
9	20	0	0	
9	21	0	0	
9	22	0	0	
9	23	0	0	
9	24	0	0	
10	0	0	0	
10	1	79.5	117.5	
10	2	71.5	111.5	
10	3	65.5	103.5	
10	4	60.5	95.5	
10	5	55.5	89.5	
10	6	51.5	83.5	
10	7	47.5	77.5	
10	8	44.5	72.5	
10	9	41.5	67.5	
10	10	39.5	63.5	
10	11	36.5	57.5	
10	12	36.5	57.5	
10	13	36	57.5	
10	14	0	0	
10	15	0	0	
10	16	0	0	
10	17	0	0	
10	18	0	0	
10	19	0	0	
10	20	0	0	
10	21	0	0	
10	22	0	0	
10	23	0	0	
10	24	0	0	
11	0	0	0	
11	1	66.5	106.5	
11	2	60.5	101.5	
11	3	56.5	94.5	
11	4	52.5	87.5	
11	5	48.5	81.5	
11	6	45.5	76.5	
11	7	42.5	71.5	
11	8	39.5	66.5	
11	9	36.5	62.5	
11	10	34.5	59.5	
11	11	32.5	56.5	
11	12	30.5	51.5	
11	13	30	51.5	
11	14	0	0	
11	15	0	0	
11	16	0	0	
11	17	0	0	
11	18	0	0	
11	19	0	0	
11	20	0	0	
11	21	0	0	
11	22	0	0	
11	23	0	0	
11	24	0	0	
12	0	0	0	
12	1	55.5	93.5	
12	2	52.5	91.5	
12	3	48.5	84.5	
12	4	44.5	78.5	
12	5	41.5	73.5	
12	6	39.5	68.5	
12	7	36.5	64.5	
12	8	34.5	60.5	
12	9	32.5	57.5	
12	10	31.5	53.5	
12	11	28.5	50.5	
12	12	27.5	48.5	
12	13	26.5	45.5	
12	14	26	45.5	
12	15	0	0	
12	16	0	0	
12	17	0	0	
