0 Event 90642, Run 981, Split 0: Ecm = 1.13, Z = 291.83: A
1 Event 14632, Run 978, Split 2: Ecm = 1.24, Z = 277.43: E
2 Event 7805, Run 964, Split 1: Ecm = 1.24, Z = 271.21: A
3 Event 221273, Run 955, Split 5: Ecm = 1.27, Z = 335.64: B
4 Event 18715, Run 986, Split 3: Ecm = 1.29, Z = 271.56: A
5 Event 11430, Run 957, Split 2: Ecm = 1.35, Z = 276.87: A
6 Event 5061, Run 973, Split 0: Ecm = 1.57, Z = 263.80: B
7 Event 582, Run 971, Split 0: Ecm = 1.62, Z = 269.48: D
8 Event 81786, Run 988, Split 3: Ecm = 1.63, Z = 269.77: A
9 Event 2049, Run 963, Split 0: Ecm = 1.69, Z = 278.77: E
10 Event 85441, Run 988, Split 4: Ecm = 1.71, Z = 257.91: A
11 Event 136267, Run 982, Split 3: Ecm = 1.72, Z = 279.32: E
12 Event 95289, Run 989, Split 0: Ecm = 1.79, Z = 264.47: E
13 Event 76273, Run 980, Split 3: Ecm = 1.81, Z = 264.09: A
14 Event 78221, Run 980, Split 4: Ecm = 1.96, Z = 263.68: B
15 Event 53450, Run 987, Split 3: Ecm = 2.01, Z = 284.26: B
16 Event 136822, Run 954, Split 3: Ecm = 2.07, Z = 316.61: B
17 Event 153981, Run 954, Split 6: Ecm = 2.08, Z = 272.28: B
18 Event 10676, Run 953, Split 0: Ecm = 2.08, Z = 257.47: B
19 Event 50861, Run 987, Split 3: Ecm = 2.10, Z = 295.46: B
20 Event 14214, Run 986, Split 2: Ecm = 2.12, Z = 261.11: B
21 Event 125225, Run 982, Split 1: Ecm = 2.15, Z = 329.11: B
22 Event 66821, Run 988, Split 1: Ecm = 2.17, Z = 371.88: B
23 Event 219203, Run 955, Split 5: Ecm = 2.17, Z = 339.57: B
24 Event 75720, Run 988, Split 2: Ecm = 2.19, Z = 271.89: E
25 Event 34639, Run 987, Split 0: Ecm = 2.21, Z = 268.40: A
26 Event 172354, Run 954, Split 10: Ecm = 2.24, Z = 290.56: B
27 Event 4820, Run 986, Split 0: Ecm = 2.30, Z = 269.74: E
28 Event 11608, Run 971, Split 2: Ecm = 2.33, Z = 237.28: B
29 Event 77262, Run 980, Split 4: Ecm = 2.33, Z = 311.63: A
30 Event 10769, Run 978, Split 2: Ecm = 2.37, Z = 268.79: E
31 Event 82320, Run 988, Split 4: Ecm = 2.41, Z = 360.93: B
