0 Event 501596, Run 923, Split 8: Ecm = 0.81, Z = 326.03: B
1 Event 721368, Run 913, Split 3: Ecm = 1.16, Z = 345.97: D
2 Event 144007, Run 930, Split 0: Ecm = 1.33, Z = 287.39: D
3 Event 617892, Run 880, Split 11: Ecm = 1.47, Z = 294.12: E
4 Event 185077, Run 908, Split 17: Ecm = 1.57, Z = 269.41: A
5 Event 420883, Run 895, Split 1: Ecm = 1.67, Z = 248.19: D
6 Event 236650, Run 930, Split 10: Ecm = 1.68, Z = 357.35: B
7 Event 266140, Run 922, Split 5: Ecm = 1.69, Z = 383.13: D
8 Event 41479, Run 884, Split 3: Ecm = 1.70, Z = 336.03: B
9 Event 874939, Run 913, Split 18: Ecm = 1.73, Z = 386.45: B
10 Event 457380, Run 895, Split 5: Ecm = 1.74, Z = 323.02: B
11 Event 500857, Run 880, Split 0: Ecm = 1.80, Z = 262.68: D
12 Event 144606, Run 908, Split 13: Ecm = 1.80, Z = 275.11: B
13 Event 1074239, Run 914, Split 14: Ecm = 1.80, Z = 257.83: B
14 Event 1987560, Run 903, Split 4: Ecm = 1.81, Z = 289.45: B
15 Event 22057, Run 893, Split 1: Ecm = 1.84, Z = 250.15: E
16 Event 434988, Run 895, Split 3: Ecm = 1.85, Z = 256.82: E
17 Event 232137, Run 885, Split 20: Ecm = 1.86, Z = 250.20: E
18 Event 331343, Run 884, Split 28: Ecm = 1.88, Z = 274.08: B
19 Event 331200, Run 909, Split 9: Ecm = 1.94, Z = 351.93: D
20 Event 250061, Run 909, Split 2: Ecm = 2.00, Z = 247.66: B
21 Event 519016, Run 912, Split 5: Ecm = 2.01, Z = 252.51: E
22 Event 256857, Run 909, Split 2: Ecm = 2.05, Z = 262.21: E
23 Event 699780, Run 889, Split 9: Ecm = 2.12, Z = 255.14: D
24 Event 31987, Run 908, Split 2: Ecm = 2.16, Z = 238.48: D
25 Event 326434, Run 894, Split 10: Ecm = 2.16, Z = 275.06: D
26 Event 1754231, Run 902, Split 3: Ecm = 2.16, Z = 266.52: D
27 Event 1560489, Run 901, Split 5: Ecm = 2.18, Z = 236.40: E
28 Event 717584, Run 889, Split 11: Ecm = 2.19, Z = 245.43: E
29 Event 256808, Run 922, Split 4: Ecm = 2.20, Z = 305.44: B
30 Event 1334982, Run 900, Split 4: Ecm = 2.21, Z = 247.09: D
31 Event 779220, Run 897, Split 4: Ecm = 2.23, Z = 231.54: E
32 Event 646923, Run 924, Split 2: Ecm = 2.24, Z = 254.24: A
33 Event 92529, Run 893, Split 9: Ecm = 2.24, Z = 263.29: B
34 Event 87685, Run 908, Split 8: Ecm = 2.26, Z = 214.73: E
35 Event 841022, Run 889, Split 22: Ecm = 2.29, Z = 251.60: A
36 Event 1424755, Run 900, Split 13: Ecm = 2.29, Z = 306.30: B
37 Event 1483878, Run 900, Split 19: Ecm = 2.32, Z = 235.29: E
38 Event 316995, Run 922, Split 10: Ecm = 2.34, Z = 375.03: B
39 Event 686906, Run 896, Split 11: Ecm = 2.35, Z = 235.01: E
40 Event 1040801, Run 898, Split 13: Ecm = 2.35, Z = 258.06: E
41 Event 282032, Run 931, Split 0: Ecm = 2.35, Z = 263.65: E
42 Event 71060, Run 893, Split 7: Ecm = 2.37, Z = 217.89: D
43 Event 73840, Run 908, Split 6: Ecm = 2.38, Z = 276.37: E
44 Event 2020305, Run 903, Split 7: Ecm = 2.38, Z = 300.31: B
45 Event 639326, Run 924, Split 1: Ecm = 2.38, Z = 260.75: D
46 Event 738815, Run 896, Split 16: Ecm = 2.39, Z = 220.62: A
47 Event 518123, Run 895, Split 12: Ecm = 2.40, Z = 307.93: B
48 Event 613564, Run 889, Split 1: Ecm = 2.42, Z = 225.80: E
49 Event 819606, Run 881, Split 9: Ecm = 2.44, Z = 266.53: E
50 Event 1176681, Run 899, Split 7: Ecm = 2.47, Z = 254.40: D
51 Event 491951, Run 886, Split 2: Ecm = 2.47, Z = 244.44: E
52 Event 1047296, Run 926, Split 6: Ecm = 2.48, Z = 261.17: D
53 Event 1632468, Run 901, Split 13: Ecm = 2.50, Z = 303.15: B
54 Event 542156, Run 895, Split 15: Ecm = 2.52, Z = 301.00: B
55 Event 971908, Run 925, Split 17: Ecm = 2.53, Z = 244.04: B
56 Event 1477346, Run 900, Split 19: Ecm = 2.59, Z = 250.41: E
57 Event 270242, Run 909, Split 4: Ecm = 2.61, Z = 222.26: D
58 Event 2142718, Run 903, Split 20: Ecm = 2.61, Z = 211.54: D
59 Event 1388652, Run 900, Split 9: Ecm = 2.63, Z = 283.06: E
60 Event 1854980, Run 902, Split 13: Ecm = 2.64, Z = 230.79: D
61 Event 1207883, Run 899, Split 10: Ecm = 2.65, Z = 241.52: D
62 Event 419368, Run 895, Split 1: Ecm = 2.66, Z = 243.97: D
63 Event 484526, Run 886, Split 1: Ecm = 2.66, Z = 254.17: D
64 Event 791689, Run 897, Split 5: Ecm = 2.67, Z = 229.60: E
65 Event 135788, Run 908, Split 12: Ecm = 2.70, Z = 247.88: D
66 Event 148831, Run 893, Split 15: Ecm = 2.71, Z = 216.64: D
67 Event 1240770, Run 915, Split 8: Ecm = 2.71, Z = 245.20: B
68 Event 772112, Run 881, Split 5: Ecm = 2.71, Z = 320.72: B
69 Event 759136, Run 889, Split 15: Ecm = 2.73, Z = 241.58: E
70 Event 71398, Run 908, Split 6: Ecm = 2.73, Z = 196.21: D
71 Event 169616, Run 908, Split 16: Ecm = 2.73, Z = 234.73: E
72 Event 26247, Run 918, Split 2: Ecm = 2.73, Z = 252.36: E
73 Event 874521, Run 913, Split 18: Ecm = 2.73, Z = 225.47: D
74 Event 196208, Run 885, Split 16: Ecm = 2.75, Z = 272.63: B
75 Event 1253608, Run 915, Split 9: Ecm = 2.75, Z = 263.50: B
76 Event 885256, Run 897, Split 15: Ecm = 2.76, Z = 209.87: E
77 Event 556060, Run 886, Split 7: Ecm = 2.76, Z = 190.87: E
78 Event 56862, Run 908, Split 5: Ecm = 2.76, Z = 232.13: E
79 Event 285590, Run 885, Split 24: Ecm = 2.77, Z = 229.63: E
80 Event 220527, Run 930, Split 8: Ecm = 2.77, Z = 252.11: B
81 Event 393529, Run 922, Split 17: Ecm = 2.78, Z = 241.54: E
82 Event 2075656, Run 903, Split 13: Ecm = 2.79, Z = 230.74: E
83 Event 64123, Run 885, Split 4: Ecm = 2.79, Z = 224.73: E
84 Event 1724918, Run 902, Split 0: Ecm = 2.79, Z = 245.35: B
85 Event 47136, Run 929, Split 4: Ecm = 2.79, Z = 217.92: D
86 Event 760494, Run 924, Split 13: Ecm = 2.81, Z = 237.37: B
87 Event 676907, Run 889, Split 7: Ecm = 2.82, Z = 243.41: E
88 Event 77672, Run 893, Split 7: Ecm = 2.82, Z = 211.01: D
89 Event 925216, Run 898, Split 1: Ecm = 2.82, Z = 223.10: A
90 Event 593734, Run 888, Split 1: Ecm = 2.82, Z = 284.95: B
91 Event 188040, Run 908, Split 18: Ecm = 2.82, Z = 196.25: D
92 Event 164320, Run 884, Split 13: Ecm = 2.83, Z = 196.36: E
93 Event 264301, Run 930, Split 12: Ecm = 2.83, Z = 244.90: A
94 Event 1121267, Run 899, Split 1: Ecm = 2.83, Z = 218.93: E
95 Event 907446, Run 897, Split 17: Ecm = 2.84, Z = 315.40: E
96 Event 189096, Run 885, Split 16: Ecm = 2.85, Z = 255.87: D
97 Event 1899941, Run 902, Split 18: Ecm = 2.85, Z = 212.90: E
98 Event 1351519, Run 900, Split 6: Ecm = 2.85, Z = 272.37: B
99 Event 1480280, Run 900, Split 19: Ecm = 2.85, Z = 201.55: E
100 Event 315565, Run 922, Split 9: Ecm = 2.87, Z = 197.16: E
101 Event 246931, Run 885, Split 21: Ecm = 2.87, Z = 217.05: E
102 Event 679313, Run 896, Split 10: Ecm = 2.87, Z = 253.66: A
103 Event 149934, Run 879, Split 2: Ecm = 2.87, Z = 188.90: D
104 Event 1186119, Run 915, Split 3: Ecm = 2.88, Z = 208.65: E
105 Event 280258, Run 922, Split 6: Ecm = 2.90, Z = 258.57: E
106 Event 1101530, Run 914, Split 17: Ecm = 2.90, Z = 253.38: D
107 Event 404428, Run 879, Split 24: Ecm = 2.90, Z = 217.16: E
108 Event 1075407, Run 898, Split 17: Ecm = 2.92, Z = 235.86: D
109 Event 136320, Run 929, Split 13: Ecm = 2.92, Z = 230.76: E
110 Event 781937, Run 889, Split 17: Ecm = 2.93, Z = 185.95: E
111 Event 274282, Run 894, Split 4: Ecm = 2.93, Z = 246.67: D
112 Event 848697, Run 925, Split 4: Ecm = 2.93, Z = 253.95: D
113 Event 474926, Run 912, Split 0: Ecm = 2.94, Z = 341.09: B
114 Event 155790, Run 885, Split 13: Ecm = 2.95, Z = 228.04: D
