0 Event 738764, Run 837, Split 61: Ecm = 0.43, Z = 341.01: B
1 Event 489269, Run 674, Split 20: Ecm = 0.61, Z = 338.92: D
2 Event 70683, Run 809, Split 15: Ecm = 0.64, Z = 376.63: B
3 Event 507950, Run 674, Split 24: Ecm = 0.70, Z = 313.31: E
4 Event 1691898, Run 772, Split 56: Ecm = 0.81, Z = 291.66: E
5 Event 800387, Run 675, Split 13: Ecm = 0.82, Z = 327.03: A
6 Event 1760264, Run 772, Split 70: Ecm = 0.84, Z = 315.79: A
7 Event 1603927, Run 677, Split 19: Ecm = 0.89, Z = 296.02: B
8 Event 921478, Run 675, Split 38: Ecm = 0.92, Z = 294.69: A
9 Event 659247, Run 674, Split 54: Ecm = 1.02, Z = 309.59: D
10 Event 4560184, Run 683, Split 41: Ecm = 1.04, Z = 281.44: A
11 Event 4833649, Run 683, Split 96: Ecm = 1.04, Z = 284.10: A
12 Event 2916398, Run 825, Split 13: Ecm = 1.04, Z = 269.28: D
13 Event 4340332, Run 828, Split 56: Ecm = 1.04, Z = 297.66: F
14 Event 2514999, Run 943, Split 19: Ecm = 1.04, Z = 282.13: D
15 Event 79403, Run 659, Split 11: Ecm = 1.05, Z = 314.00: D
16 Event 5248682, Run 684, Split 80: Ecm = 1.08, Z = 312.30: B
17 Event 3457266, Run 681, Split 10: Ecm = 1.08, Z = 289.27: A
18 Event 1144430, Run 688, Split 35: Ecm = 1.09, Z = 310.60: D
19 Event 1861168, Run 821, Split 5: Ecm = 1.10, Z = 294.05: B
20 Event 564038, Run 674, Split 35: Ecm = 1.13, Z = 281.55: G
21 Event 1249885, Run 771, Split 62: Ecm = 1.14, Z = 303.58: E
22 Event 4724083, Run 683, Split 74: Ecm = 1.14, Z = 263.69: A
23 Event 256238, Run 666, Split 52: Ecm = 1.15, Z = 351.68: C
24 Event 3964771, Run 682, Split 16: Ecm = 1.16, Z = 279.40: A
25 Event 813255, Run 675, Split 16: Ecm = 1.18, Z = 297.42: D
26 Event 3214368, Run 680, Split 58: Ecm = 1.19, Z = 286.41: B
27 Event 5104875, Run 830, Split 26: Ecm = 1.19, Z = 299.95: E
28 Event 2654807, Run 824, Split 32: Ecm = 1.20, Z = 278.56: A
29 Event 135640, Run 659, Split 23: Ecm = 1.20, Z = 331.54: D
30 Event 750464, Run 675, Split 3: Ecm = 1.20, Z = 305.23: B
31 Event 1788177, Run 772, Split 76: Ecm = 1.22, Z = 286.17: A
32 Event 2189361, Run 941, Split 33: Ecm = 1.22, Z = 302.71: A
33 Event 1522454, Run 772, Split 20: Ecm = 1.22, Z = 323.03: A
34 Event 3760959, Run 681, Split 72: Ecm = 1.23, Z = 286.76: A
35 Event 1190114, Run 664, Split 11: Ecm = 1.24, Z = 275.66: A
36 Event 290536, Run 659, Split 54: Ecm = 1.24, Z = 292.28: E
37 Event 1778464, Run 677, Split 55: Ecm = 1.25, Z = 275.02: D
38 Event 620662, Run 661, Split 57: Ecm = 1.25, Z = 345.95: A
39 Event 1879450, Run 816, Split 8: Ecm = 1.25, Z = 279.26: A
40 Event 127788, Run 709, Split 26: Ecm = 1.26, Z = 275.97: B
41 Event 975355, Run 842, Split 17: Ecm = 1.26, Z = 357.38: B
42 Event 2404601, Run 678, Split 86: Ecm = 1.27, Z = 277.31: D
43 Event 4456603, Run 683, Split 19: Ecm = 1.28, Z = 285.06: B
44 Event 447484, Run 797, Split 96: Ecm = 1.29, Z = 281.60: B
45 Event 3142140, Run 947, Split 7: Ecm = 1.29, Z = 276.64: D
46 Event 290629, Run 760, Split 35: Ecm = 1.29, Z = 272.54: B
47 Event 3193063, Run 680, Split 54: Ecm = 1.30, Z = 280.67: E
48 Event 615778, Run 850, Split 30: Ecm = 1.31, Z = 301.71: E
49 Event 1733414, Run 772, Split 65: Ecm = 1.31, Z = 291.27: E
50 Event 21481, Run 849, Split 3: Ecm = 1.32, Z = 364.28: B
51 Event 620559, Run 661, Split 57: Ecm = 1.33, Z = 313.08: E
52 Event 608881, Run 674, Split 44: Ecm = 1.33, Z = 316.28: E
53 Event 1396912, Run 664, Split 53: Ecm = 1.33, Z = 322.81: B
54 Event 424071, Run 674, Split 7: Ecm = 1.33, Z = 284.50: E
55 Event 1672632, Run 665, Split 37: Ecm = 1.35, Z = 327.00: D
56 Event 5189943, Run 684, Split 68: Ecm = 1.35, Z = 274.60: A
57 Event 1699356, Run 677, Split 39: Ecm = 1.36, Z = 318.92: B
58 Event 2448902, Run 943, Split 7: Ecm = 1.36, Z = 267.36: F
59 Event 3152343, Run 825, Split 63: Ecm = 1.38, Z = 262.65: A
60 Event 86154, Run 666, Split 17: Ecm = 1.39, Z = 297.30: D
61 Event 19986, Run 712, Split 4: Ecm = 1.40, Z = 274.88: E
62 Event 1776419, Run 665, Split 59: Ecm = 1.40, Z = 276.15: E
63 Event 398876, Run 849, Split 83: Ecm = 1.41, Z = 278.42: B
64 Event 3464627, Run 826, Split 32: Ecm = 1.41, Z = 274.02: D
65 Event 67548, Run 649, Split 6: Ecm = 1.42, Z = 303.83: A
66 Event 3093450, Run 680, Split 33: Ecm = 1.43, Z = 262.14: D
67 Event 1374835, Run 664, Split 48: Ecm = 1.43, Z = 275.39: B
68 Event 5232371, Run 684, Split 77: Ecm = 1.43, Z = 336.21: B
69 Event 1186032, Run 819, Split 58: Ecm = 1.44, Z = 276.59: D
70 Event 164859, Run 712, Split 33: Ecm = 1.44, Z = 293.19: D
71 Event 70347, Run 750, Split 14: Ecm = 1.45, Z = 281.38: E
72 Event 4835117, Run 683, Split 97: Ecm = 1.45, Z = 251.29: A
73 Event 1594118, Run 677, Split 17: Ecm = 1.46, Z = 267.76: B
74 Event 1300007, Run 851, Split 76: Ecm = 1.46, Z = 264.56: D
75 Event 964163, Run 842, Split 14: Ecm = 1.46, Z = 272.88: D
76 Event 39348, Run 712, Split 8: Ecm = 1.46, Z = 277.93: A
77 Event 1030319, Run 780, Split 25: Ecm = 1.47, Z = 306.55: A
78 Event 464148, Run 841, Split 6: Ecm = 1.47, Z = 361.85: B
79 Event 1704241, Run 772, Split 58: Ecm = 1.48, Z = 277.17: A
80 Event 3732552, Run 827, Split 23: Ecm = 1.50, Z = 264.23: A
81 Event 965196, Run 675, Split 46: Ecm = 1.50, Z = 264.54: D
82 Event 851284, Run 798, Split 82: Ecm = 1.50, Z = 262.74: E
83 Event 2335777, Run 942, Split 16: Ecm = 1.51, Z = 257.44: A
84 Event 693811, Run 661, Split 72: Ecm = 1.51, Z = 268.08: A
85 Event 1692361, Run 772, Split 56: Ecm = 1.52, Z = 330.78: E
86 Event 3123856, Run 657, Split 43: Ecm = 1.52, Z = 277.08: E
87 Event 741990, Run 662, Split 6: Ecm = 1.52, Z = 271.84: A
88 Event 442978, Run 778, Split 93: Ecm = 1.52, Z = 315.71: B
89 Event 507591, Run 818, Split 10: Ecm = 1.53, Z = 259.46: D
90 Event 1558812, Run 843, Split 33: Ecm = 1.53, Z = 265.01: E
91 Event 290420, Run 705, Split 58: Ecm = 1.53, Z = 251.35: D
92 Event 256281, Run 672, Split 52: Ecm = 1.53, Z = 269.71: F
93 Event 1236030, Run 688, Split 54: Ecm = 1.54, Z = 297.05: B
94 Event 140261, Run 733, Split 17: Ecm = 1.54, Z = 278.66: E
95 Event 1318377, Run 771, Split 77: Ecm = 1.54, Z = 266.14: A
96 Event 2366124, Run 755, Split 29: Ecm = 1.54, Z = 269.16: A
97 Event 311774, Run 801, Split 65: Ecm = 1.54, Z = 259.16: A
98 Event 1031411, Run 799, Split 20: Ecm = 1.56, Z = 270.21: D
99 Event 34446, Run 659, Split 2: Ecm = 1.57, Z = 321.30: C
100 Event 2763807, Run 945, Split 2: Ecm = 1.57, Z = 265.09: E
101 Event 367063, Run 661, Split 6: Ecm = 1.58, Z = 287.32: B
102 Event 491934, Run 710, Split 5: Ecm = 1.58, Z = 303.96: B
103 Event 978425, Run 799, Split 8: Ecm = 1.58, Z = 266.27: D
104 Event 4296837, Run 828, Split 46: Ecm = 1.59, Z = 254.92: D
105 Event 266234, Run 672, Split 54: Ecm = 1.59, Z = 242.85: A
106 Event 4853059, Run 683, Split 100: Ecm = 1.59, Z = 277.86: B
107 Event 355888, Run 769, Split 75: Ecm = 1.59, Z = 276.01: A
108 Event 209420, Run 659, Split 38: Ecm = 1.59, Z = 285.51: E
109 Event 287109, Run 666, Split 58: Ecm = 1.59, Z = 256.51: A
110 Event 1049872, Run 662, Split 69: Ecm = 1.61, Z = 241.23: F
111 Event 228702, Run 760, Split 21: Ecm = 1.61, Z = 270.51: F
112 Event 1053900, Run 842, Split 34: Ecm = 1.61, Z = 301.60: D
113 Event 2757482, Run 656, Split 25: Ecm = 1.61, Z = 245.88: D
114 Event 98903, Run 836, Split 20: Ecm = 1.63, Z = 263.99: F
115 Event 55225, Run 666, Split 11: Ecm = 1.63, Z = 253.85: A
116 Event 3118581, Run 947, Split 3: Ecm = 1.63, Z = 302.60: B
117 Event 4323629, Run 682, Split 89: Ecm = 1.63, Z = 306.60: B
118 Event 1438400, Run 772, Split 2: Ecm = 1.63, Z = 278.26: E
119 Event 191152, Run 685, Split 39: Ecm = 1.64, Z = 363.90: B
120 Event 1037845, Run 799, Split 21: Ecm = 1.65, Z = 258.77: C
121 Event 2358890, Run 823, Split 68: Ecm = 1.65, Z = 253.55: A
122 Event 1203612, Run 819, Split 61: Ecm = 1.65, Z = 354.23: B
123 Event 4185274, Run 682, Split 61: Ecm = 1.65, Z = 271.36: A
124 Event 545422, Run 760, Split 92: Ecm = 1.65, Z = 300.42: B
125 Event 40968, Run 712, Split 8: Ecm = 1.66, Z = 317.61: A
126 Event 2048256, Run 941, Split 5: Ecm = 1.66, Z = 306.90: E
127 Event 325660, Run 666, Split 66: Ecm = 1.66, Z = 255.49: A
128 Event 2882386, Run 679, Split 87: Ecm = 1.66, Z = 258.21: D
129 Event 368151, Run 797, Split 78: Ecm = 1.66, Z = 299.17: B
130 Event 1789091, Run 772, Split 76: Ecm = 1.66, Z = 293.36: E
131 Event 5110589, Run 684, Split 52: Ecm = 1.66, Z = 294.59: B
132 Event 4816543, Run 683, Split 93: Ecm = 1.67, Z = 244.94: A
133 Event 682615, Run 686, Split 40: Ecm = 1.67, Z = 273.08: E
134 Event 1802969, Run 677, Split 60: Ecm = 1.67, Z = 278.92: D
135 Event 413926, Run 840, Split 87: Ecm = 1.67, Z = 250.08: F
136 Event 481723, Run 668, Split 25: Ecm = 1.68, Z = 271.63: F
137 Event 1113479, Run 785, Split 43: Ecm = 1.68, Z = 262.86: B
138 Event 458958, Run 650, Split 53: Ecm = 1.68, Z = 298.92: D
139 Event 18747, Run 672, Split 3: Ecm = 1.68, Z = 270.96: A
140 Event 1040066, Run 662, Split 67: Ecm = 1.69, Z = 316.59: E
141 Event 447753, Run 668, Split 18: Ecm = 1.69, Z = 275.33: F
142 Event 1760462, Run 772, Split 70: Ecm = 1.70, Z = 297.41: E
143 Event 2259693, Run 823, Split 47: Ecm = 1.70, Z = 245.95: A
144 Event 2377186, Run 942, Split 23: Ecm = 1.71, Z = 253.95: A
145 Event 428889, Run 661, Split 18: Ecm = 1.71, Z = 291.75: E
146 Event 14464, Run 709, Split 2: Ecm = 1.71, Z = 248.78: D
147 Event 942041, Run 819, Split 5: Ecm = 1.72, Z = 286.76: D
148 Event 2294327, Run 755, Split 13: Ecm = 1.72, Z = 283.27: A
149 Event 1822059, Run 772, Split 83: Ecm = 1.73, Z = 291.54: E
150 Event 383027, Run 778, Split 80: Ecm = 1.74, Z = 272.70: B
151 Event 2996519, Run 680, Split 14: Ecm = 1.74, Z = 255.88: E
152 Event 329125, Run 809, Split 71: Ecm = 1.74, Z = 326.20: E
153 Event 236954, Run 836, Split 50: Ecm = 1.75, Z = 262.69: C
154 Event 916773, Run 706, Split 94: Ecm = 1.75, Z = 339.11: A
155 Event 1019830, Run 790, Split 11: Ecm = 1.76, Z = 285.39: E
156 Event 2775030, Run 679, Split 65: Ecm = 1.76, Z = 272.62: C
157 Event 206862, Run 849, Split 42: Ecm = 1.77, Z = 259.32: D
158 Event 1547240, Run 772, Split 25: Ecm = 1.78, Z = 233.94: F
159 Event 114433, Run 659, Split 18: Ecm = 1.78, Z = 277.29: F
160 Event 1259728, Run 851, Split 67: Ecm = 1.78, Z = 269.11: D
161 Event 2772607, Run 824, Split 56: Ecm = 1.78, Z = 281.34: C
162 Event 3253807, Run 680, Split 66: Ecm = 1.79, Z = 290.23: A
